id,worker,scenario,paradigm,iteration,calcium_min,calcium_max,calories_min,calories_max,caloriesFromFat_min,caloriesFromFat_max,cholesterol_min,cholesterol_max,dietaryFiber_min,dietaryFiber_max,folate_min,folate_max,iron_min,iron_max,magnesium_min,magnesium_max,niacin_min,niacin_max,potassium_min,potassium_max,protein_min,protein_max,saturatedFat_min,saturatedFat_max,sodium_min,sodium_max,sugars_min,sugars_max,thiamin_min,thiamin_max,totalCarbohydrates_min,totalCarbohydrates_max,totalFat_min,totalFat_max,vitaminA_min,vitaminA_max,vitaminB6_min,vitaminB6_max,vitaminC_min,vitaminC_max,rating_min,rating_max,order1,order2,order3
41019,181,18.2602,Faceted,0,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41055,192,8.5668,EnhancedMAUT,0,,,,,,,,,,,0.4,,,,800.0,,38.0,,,,,,,,,,,,,,,,,,6000.0,,2.6,,,,,,,,
41055,192,8.5668,EnhancedMAUT,1,,,2500.0,,,,270.0,,,,0.4,,,,800.0,,38.0,,,,,,,,1500.0,,,,,,,,,,6000.0,,2.6,,,,,,,,
41055,192,8.5668,EnhancedMAUT,2,,,2250.0,,,,270.0,,76.0,,0.4,,,,800.0,,15.2,,,,,,,,1500.0,,,,1.2,,,,,,6000.0,,2.6,,,,3.5,,,,
41055,192,8.5668,EnhancedMAUT,3,,,2250.0,,,,270.0,,76.0,,0.4,,,,800.0,,15.2,,,,,,,,1500.0,,,,1.2,,,,,,6000.0,,2.6,,,,4.5,,,,
41057,192,6.6551,SortedBoolean,0,,2000.0,1750.0,2500.0,,,,,,,,0.8,,,,,,38.0,,,,,,,750.0,1200.0,,,,,,,,,,,,,,,4.5,5,,,
41059,192,15.1614,EnhancedMAUT,0,,,,,,,,,,,,,,,,,,,,,,,,,1200.0,,,,,,,,200,,6000.0,,2.6,,270.0,,4.5,,,,
41059,192,15.1614,EnhancedMAUT,1,,,1800.0,,800,,240.0,,25.0,,,,,,,,,,,,,,,,1200.0,,,,,,,,,,6000.0,,2.6,,270.0,,4.5,,,,
41059,192,15.1614,EnhancedMAUT,2,1000.0,,1800.0,,800,,240.0,,25.0,,0.4,,12.0,,600.0,,22.5,,,,,,,,1200.0,,,,1.65,,,,,,6000.0,,2.6,,270.0,,4.5,,,,
41065,193,8.5668,EnhancedMAUT,0,,,600,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
41065,193,8.5668,EnhancedMAUT,1,,,2300,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
41065,193,8.5668,EnhancedMAUT,2,,,2300,,,,,,58,,,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,4,,,,
41067,193,6.6551,EnhancedMAUT,0,1000,,,,,,,,,,.4,,,,,,19,,,,,,,,750,,,,,,,,,,,,,,,,5,,,,
41069,193,3.732,Faceted,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,
41069,193,3.732,Faceted,1,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,
41069,193,3.732,Faceted,2,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,1.5,,,,,,,1.5,2.0,,,,,,,
41069,193,3.732,Faceted,3,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,1.5,,,,,,,1.5,2.0,,,4.0,,,,
41069,193,3.732,Faceted,4,,,2000,2200,,,,,,,,,,,,,,40,,,,,,,,,,,,1.5,,,,,,,1.5,2.0,,,4.0,,,,
41069,193,3.732,Faceted,5,,,2000,2200,,,,,,,,,,,,,,40,,,,,,,,,,,,1.5,,,,,,,1.5,2.0,75,100,4.0,,,,
41865,378,15.1614,SortedBoolean,0,,,,2000,,600,,,,,,,,,,,,,,,,,,,1500,2300,,,,,,,,,90,,,,3000,,,,,,
41865,378,15.1614,SortedBoolean,1,,,,2000,,600,,,,,,,,,,,,,,,,,,,1500,,,,,,,,,,90,,,,3000,,,,,,
41865,378,15.1614,SortedBoolean,2,,,,2000,,600,,,,,,,,,,,,,,,,,,,1500,,,,,,,,,,,,,,,,,,,,
41867,378,3.732,EnhancedMAUT,0,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,1.3,,,,,,,,2,,,,,,,,
41867,378,3.732,EnhancedMAUT,1,,,2000,,,,,,,,,,,,,,16,,,,,,,,,,,,1.3,,,,,,,,2,,,,,,,,
41869,378,8.5668,Faceted,0,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41869,378,8.5668,Faceted,1,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,2.5,3.0,,,,,,,,,,,,,,,
41869,378,8.5668,Faceted,2,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,
41869,378,8.5668,Faceted,3,,,,,,,,,35,,,,,,,,100,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,
41869,378,8.5668,Faceted,4,,,,,,,,,35,,,,,,,,100,,,,,,,,,,,,4.0,,,,,,24000,,,,,,,,,,
41869,378,8.5668,Faceted,5,,,,,,,,,35,,,,,,650,,100,,,,,,,,,,,,4.0,,,,,,24000,,,,,,,,,,
41869,378,8.5668,Faceted,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,
41869,378,8.5668,Faceted,7,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,
41869,378,8.5668,Faceted,8,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,3.5,,,,
41869,378,8.5668,Faceted,9,,,,,,,,,35,,,,,,,,,40,,,,,,,,,,,,1.5,,,,,,,,,,,3.5,,,,
41869,378,8.5668,Faceted,10,,,,,,,,,35,,,,,,,,,40,,,,,,,,,,,,1.5,,,,,24000,,,,,,3.5,,,,
41869,378,8.5668,Faceted,11,,,,,,,,,35,,,,,,400,450,,40,,,,,,,,,,,,1.5,,,,,24000,,,,,,3.5,,,,
41965,416,9.626,Faceted,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,
41965,416,9.626,Faceted,1,1600,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,
41965,416,9.626,Faceted,2,1600,1800,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,
41990,424,8.5668,Faceted,0,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,
41990,424,8.5668,Faceted,1,,,,,,,,,,,,,,,650,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,
41990,424,8.5668,Faceted,2,,,,,,,,,,,,,,,650,,,40,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,
42105,455,3.6108,EnhancedMAUT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,
42105,455,3.6108,EnhancedMAUT,1,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,90,,,,,,
42105,455,3.6108,EnhancedMAUT,2,,,2000,,,,,,,,,,,,,,15.1,,,,,,,,,,,,,,,,,,,,1.5,,90,,,,,,
42105,455,3.6108,EnhancedMAUT,3,,,2000,,,,300,,,,,,,,,,15.1,,,,,,,,1500,,,,,,,,,,,,1.5,,90,,,,,,
42105,455,3.6108,EnhancedMAUT,4,1000,,2000,,,,300,,25,,0.4,,8,,400,,15.1,,4700,,46,,,,1500,,,,1.3,,130,,,,3000,,1.5,,90,,,,,,
42107,455,6.2876,Faceted,0,,,,,,,,,,,,,,,,,,,,,,,,,,2500,,,,,,,,,,,,,,,,,,,
42107,455,6.2876,Faceted,1,,,,,,,,,,,,0.5,,,,,,,,,,,,,,2500,,,,,,,,,,,,,,,,,,,
42107,455,6.2876,Faceted,2,,,,,,,,,,,,0.5,,,,,,,,,,60,,,,2500,,,,,,,,,,,,,,,,,,,
42107,455,6.2876,Faceted,3,,,2400,2600,,,,,,,,0.5,,,,,,,,,,60,,,,2500,,,,,,,,,,,,,,,,,,,
42107,455,6.2876,Faceted,4,,,2400,2600,,,,,,,,0.5,,,,,,,2500,3000,,60,,,,2500,,,,,,,,,,,,,,,,,,,
42107,455,6.2876,Faceted,5,,,2400,2600,,,,,,,,0.5,,,,,,,,,,60,,,,2500,,,,,,,,,,,,,,,,,+sodium,,
42107,455,6.2876,Faceted,6,,,,,,,,,,,,0.5,,,,,,,,,,60,,,,2500,,,,,,,,,,,,,,,,,+sodium,+protein,+folate
42107,455,6.2876,Faceted,7,,,,,,,,,,,,0.5,,,,,,,,,,60,,,,2500,,,,,,,,,,,,,,,,,-sodium,+protein,+folate
42107,455,6.2876,Faceted,8,,,,,,,,,,,,0.5,,,,,,,,,,60,,,,2500,,,,,,,,,,,,,,,3.0,,-sodium,+protein,+folate
42107,455,6.2876,Faceted,9,,,,,,,,,,,,0.5,,,,,,,,,,60,,,,2500,,,,,,,,,,,,,,,3.0,,+sodium,+protein,+folate
42109,455,2.4724,Faceted,0,1400,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42109,455,2.4724,Faceted,1,1400,1600,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,
42109,455,2.4724,Faceted,2,1400,1600,,,,,,,,,,0.5,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,
42109,455,2.4724,Faceted,3,1400,1600,,,,,,,,,,0.5,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,-calcium,-iron,-magnesium
42110,457,6.2876,EnhancedMAUT,0,,,,,,,,,,,0.4,,,,,,,,,,60,,,,750,,,,,,,,,,,,,,,,5,,,,
42112,457,2.4724,EnhancedMAUT,0,1500,,,,,,,,,,0.4,,12,,500,,,,,,56,,,,,,,,,,,,,,,,,,,,5,,,,
